spotify_id,track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,duration
2fIUlieTjLTaNQUIKHX5B8,0jEtl0UFAyJ504KppwK3yL,0.679,0.677,3,-6.069,0,0.17,0.132,0,0.0316,0.668,162.029,,4,222485.0
2fIUlieTjLTaNQUIKHX5B8,3Ja24lJD1Bm0bkZOi63L49,0.708,0.447,10,-8.339,1,0.0379,0.39,0,0.124,0.259,129.954,,4,226134.0
2fIUlieTjLTaNQUIKHX5B8,0Sw2mhvdGyPxep35xsOtd1,0.581,0.526,7,-10.169,0,0.185,0.0498,0,0.126,0.336,169.78,,4,239308.0
2fIUlieTjLTaNQUIKHX5B8,5rpG1a6mEMrA5DEN6wqJYe,0.318,0.74,7,-7.67,1,0.146,0.0679,0,0.286,0.196,94.877,,4,219989.0
2fIUlieTjLTaNQUIKHX5B8,3DIGDrm96ga3eY8OzFNrD2,0.51,0.637,2,-7.171,1,0.0388,0.00261,1.19e-06,0.197,0.102,107.068,,4,246560.0
2fIUlieTjLTaNQUIKHX5B8,4CfcxphxQOZqrlxflYNMFH,0.63,0.773,7,-6.672,0,0.0331,0.00849,0,0.208,0.413,122.016,,4,233665.0
2fIUlieTjLTaNQUIKHX5B8,1bFlMyzKd4hqrBTPkmC2i7,0.529,0.644,6,-5.783,1,0.031,0.0214,0,0.347,0.839,193.974,,4,241110.0
2fIUlieTjLTaNQUIKHX5B8,2nvqGchkdzMfYNrtGhArN2,0.642,0.662,7,-6.943,1,0.0779,0.119,0,0.174,0.613,114.929,,4,173949.0
2fIUlieTjLTaNQUIKHX5B8,7uetC0LYz7mdPcQzgZwjPL,0.466,0.744,5,-2.714,0,0.179,0.117,0,0.36,0.723,81.354,,4,234013.0
2fIUlieTjLTaNQUIKHX5B8,5LvTrzMeYSf09YFjpNVme9,0.752,0.741,7,-6.187,1,0.118,0.0381,1.98e-05,0.101,0.836,99.955,,4,272293.0
46oL0QioEQMSSvkxxifCok,0uryR2h5CovP64xlud4DGZ,0.398,0.903,9,-5.299,1,0.0449,0.0002,0.901,0.252,0.124,174.035,,4,408376.0
46oL0QioEQMSSvkxxifCok,1bPoSOL2emkTpRHI2DdxVs,0.477,0.834,2,-5.751,1,0.049,0.000347,0.834,0.123,0.123,173.989,,4,419310.0
46oL0QioEQMSSvkxxifCok,2W8icqT4BmJHYzXA5NK6B9,0.494,0.887,6,-4.301,0,0.0469,0.0112,0.715,0.0962,0.0383,174.011,,4,339310.0
46oL0QioEQMSSvkxxifCok,35eNgRM4fzdgsQ8syGJTYK,0.52,0.829,6,-7.473,0,0.042,0.000436,0.468,0.083,0.349,173.991,,4,312999.0
46oL0QioEQMSSvkxxifCok,02PBAr6Mz7e7uZQibdCxAB,0.52,0.953,1,-5.249,1,0.0435,0.000877,0.835,0.0879,0.309,173.985,,4,388966.0
46oL0QioEQMSSvkxxifCok,6LXFBlBvQLj9tlJAmchq2g,0.519,0.935,2,-6.504,0,0.0525,1.18e-05,0.797,0.158,0.282,174.016,,4,372991.0
46oL0QioEQMSSvkxxifCok,1hJHgiNasjB7mqt7iu6ymv,0.267,0.941,9,-8.322,0,0.108,0.0126,0.912,0.229,0.182,174.044,,4,355000.0
46oL0QioEQMSSvkxxifCok,7CAZ2OKqxweDt0X8SoBH5R,0.342,0.788,10,-7.314,0,0.0461,0.107,0.862,0.102,0.0844,173.988,,4,358620.0
46oL0QioEQMSSvkxxifCok,7gKrdI8DvMXoGMgAJ7ba5j,0.561,0.86,0,-5.257,1,0.0431,0.0002,0.831,0.122,0.512,173.986,,4,298288.0
46oL0QioEQMSSvkxxifCok,0OO8mYIf5lTaqX0eK5kNcI,0.515,0.845,4,-6.776,0,0.0525,0.000275,0.16,0.149,0.248,173.964,,4,322759.0
4hpq4qAP5XaJawNi8XriL8,73WKUbd16PxQJJFJ2WSeLb,0.546,0.852,7,-5.293,1,0.0506,0.0163,0.919,0.0641,0.0909,174.018,,4,365708.0
4hpq4qAP5XaJawNi8XriL8,01bN4H0Sd1QgowzcPkUh0s,0.507,0.881,11,-4.339,0,0.0451,0.00199,0.857,0.0607,0.0323,173.977,,4,390503.0
4hpq4qAP5XaJawNi8XriL8,3aIytbB1dem0fyB6F40dra,0.622,0.944,7,-4.333,1,0.0531,0.00719,0.892,0.0679,0.199,174.012,,4,288368.0
4hpq4qAP5XaJawNi8XriL8,12U4gHPbETZHZicyRFfDCH,0.549,0.563,10,-11.236,0,0.031,0.0365,0.847,0.344,0.429,86.97,,4,316441.0
4hpq4qAP5XaJawNi8XriL8,5RellKgI4k8vjj6J8juF81,0.502,0.954,6,-6.108,1,0.058,0.00393,0.852,0.226,0.231,174.018,,4,340544.0
4hpq4qAP5XaJawNi8XriL8,4afr7RDmDtIfVoKLZgAbMY,0.477,0.965,5,-4.499,0,0.0445,9.47e-05,0.892,0.34,0.0927,174.022,,4,387920.0
4hpq4qAP5XaJawNi8XriL8,6auBvnKPaghNA1rAeRwZkD,0.574,0.947,7,-6.501,1,0.0499,0.000215,0.863,0.188,0.348,174.056,,4,365517.0
4hpq4qAP5XaJawNi8XriL8,7lmqBhDcf0f3dxLAKAMHiU,0.493,0.76,8,-5.803,1,0.0418,0.0179,0.91,0.0793,0.0469,173.988,,4,362143.0
4hpq4qAP5XaJawNi8XriL8,3gcOMyOCjReds70iWxWtNY,0.42,0.937,4,-5.324,0,0.0537,0.00139,0.884,0.0788,0.0367,173.978,,4,370754.0
4hpq4qAP5XaJawNi8XriL8,44UZqiul6jjxtlHjrx5MM5,0.528,0.908,9,-5.532,0,0.0517,0.00177,0.88,0.107,0.04,174.001,,4,330444.0
68RweNX74ySQqaOjS5sZmx,07ThOuThdURRqOJTkokpeG,0.5,0.979,10,-2.563,0,0.0684,0.119,0.0147,0.247,0.384,174.021,,4,275862.0
68RweNX74ySQqaOjS5sZmx,1plxR9hhPeIgKtBykMwFQB,0.412,0.815,5,-4.936,0,0.0485,0.000326,0.204,0.375,0.38,174.049,,4,314493.0
68RweNX74ySQqaOjS5sZmx,2covqotZVESHAPJgoUd01j,0.546,0.804,1,-2.312,1,0.11,0.00183,0.0992,0.0705,0.36,174.149,,4,314493.0
68RweNX74ySQqaOjS5sZmx,4vvULukQs1QMl91zKjYXg3,0.466,0.988,5,-0.777,1,0.103,9.84e-05,0.442,0.306,0.114,174.05,,4,299055.0
68RweNX74ySQqaOjS5sZmx,4RTUbFmI5jjVdEIpT1zW60,0.386,0.815,3,-4.969,1,0.0423,0.00059,0.682,0.0794,0.441,173.993,,4,273107.0
68RweNX74ySQqaOjS5sZmx,5ExMRkXuDgzaVsGhoPnYAv,0.492,0.923,5,-1.541,0,0.0374,0.000304,0.475,0.0721,0.253,173.952,,4,248761.0
68RweNX74ySQqaOjS5sZmx,4I61LdhluvMKl8Ajppexo7,0.413,0.988,1,-0.693,1,0.0349,0.000445,0.905,0.0832,0.0398,173.993,,4,284957.0
68RweNX74ySQqaOjS5sZmx,5YQ9QkujYJgZcVtWjS1GIi,0.395,0.991,0,-1.137,1,0.0608,0.00105,0.766,0.262,0.573,174.027,,4,270345.0
68RweNX74ySQqaOjS5sZmx,7KNyiMW6dCh4ug9C5MMr2t,0.484,0.97,0,-2.608,1,0.0443,0.000214,0.823,0.252,0.333,173.994,,4,253661.0
68RweNX74ySQqaOjS5sZmx,5ej2bdX3DDIYxOz0CJU7uQ,0.496,0.984,1,-1.481,1,0.13,0.000228,0.634,0.276,0.158,174.074,,4,248276.0
4lFmHaaR3XATl9yVLqWuhz,0weTTjyrVGFmOD6HtyUBw7,0.148,0.373,4,-15.169,0,0.0372,0.906,0.907,0.0855,0.0312,155.71,,1,308024.0
4lFmHaaR3XATl9yVLqWuhz,0XGiFzak63vfrOLmIY4QuZ,0.123,0.246,1,-16.905,0,0.0473,0.89,0.936,0.137,0.0398,90.28,,4,348056.0
4lFmHaaR3XATl9yVLqWuhz,49TxVt5swWNXOKKREZsnlK,0.0798,0.296,4,-16.648,0,0.0362,0.786,0.962,0.0878,0.0278,79.675,,3,286000.0
4lFmHaaR3XATl9yVLqWuhz,6bHIT5jADFA7o29yIrhlsT,0.268,0.298,11,-16.46,0,0.0349,0.866,0.878,0.089,0.051,133.997,,3,344232.0
4lFmHaaR3XATl9yVLqWuhz,0SboOPICXs4nWb0AlYT5yT,0.192,0.113,6,-23.344,0,0.0418,0.766,0.861,0.0741,0.0298,124.864,,4,408731.0
4lFmHaaR3XATl9yVLqWuhz,5saf4I6XXk3KPjtzmUMHzy,0.143,0.324,7,-17.829,1,0.038,0.359,0.827,0.131,0.0363,79.405,,5,240490.0
4lFmHaaR3XATl9yVLqWuhz,2F5sYS6lNiRwKZsE3IJcCV,0.131,0.32,0,-16.308,0,0.0367,0.655,0.757,0.0895,0.0778,89.069,,3,354694.0
4lFmHaaR3XATl9yVLqWuhz,1VMUl2gXDPcMTtJlhK4QaE,0.184,0.191,0,-17.129,0,0.0394,0.107,0.722,0.111,0.0293,69.042,,3,329577.0
4lFmHaaR3XATl9yVLqWuhz,217VoayDYRDPLoR4O7CZA3,0.145,0.24,0,-15.748,1,0.0436,0.979,0.927,0.102,0.0193,138.256,,4,343309.0
4lFmHaaR3XATl9yVLqWuhz,1kN0YabarDP0OO5QHv2h7l,0.0992,0.38,4,-14.911,0,0.0416,0.0661,0.881,0.0908,0.0298,87.794,,3,347926.0
6YB9sqHoLlgUIRnjgSSgXT,2RcWfEKaoRO5HWfnQND8qO,0.502,0.72,10,-4.014,1,0.0467,0.000456,0.589,0.163,0.0733,174.005,,4,224579.0
6YB9sqHoLlgUIRnjgSSgXT,3jFAs6aRLdxrFDRwMOqMvN,0.438,0.951,9,-2.592,0,0.0379,0.000595,0.313,0.243,0.0745,173.956,,4,275891.0
6YB9sqHoLlgUIRnjgSSgXT,7eheBh59CYIVEsB1ZfJW8m,0.467,0.837,6,-7.245,0,0.0444,0.000151,0.9,0.0885,0.0989,173.998,,4,209106.0
6YB9sqHoLlgUIRnjgSSgXT,7gGfvy2rQ2NeuOfJUeuWWB,0.424,0.955,8,-1.6,1,0.0443,0.00493,0.0157,0.0786,0.0494,86.987,,4,320011.0
6YB9sqHoLlgUIRnjgSSgXT,3jnhC9h46FZ0LJ4xxZhQLk,0.442,0.914,5,-3.779,1,0.0527,0.00148,0.161,0.109,0.157,173.968,,4,234734.0
6YB9sqHoLlgUIRnjgSSgXT,1xh8S7tPTMIZBmoZlXTVey,0.519,0.742,0,-4.289,0,0.0465,0.000644,0.722,0.203,0.0687,174.051,,4,312355.0
6YB9sqHoLlgUIRnjgSSgXT,6gakBs6EkEykPYY78iDMcl,0.472,0.917,10,-4.559,0,0.0358,0.000115,0.732,0.104,0.0738,174.02,,4,281401.0
6YB9sqHoLlgUIRnjgSSgXT,5tuKPrgdz6kX08Et4pocxc,0.357,0.939,1,-4.384,0,0.0364,0.000758,0.978,0.295,0.125,174.005,,4,308983.0
6YB9sqHoLlgUIRnjgSSgXT,6yEJC6NpuPz5Hp3nuOOu6m,0.511,0.936,11,-5.225,0,0.0789,0.00482,0.866,0.326,0.427,174.104,,4,316700.0
6YB9sqHoLlgUIRnjgSSgXT,4O1JhiTeWqibp0LOAhmvPB,0.456,0.808,9,-6.363,0,0.0329,0.000174,0.197,0.184,0.134,174.923,,4,285257.0
7oPmR7kujiCfv7EjD1jK1R,0NB1E0rPmQStyx0Fz5NckX,0.206,0.0241,0,-26.687,1,0.0459,0.983,0.00316,0.0886,0.0385,81.148,,1,93960.0
7oPmR7kujiCfv7EjD1jK1R,496v9YVgQv3n0te6bcUqZJ,0.195,0.0168,11,-27.388,0,0.0454,0.966,0.00336,0.0652,0.0372,110.361,,3,180200.0
7oPmR7kujiCfv7EjD1jK1R,7BSYWgRMmRSqLnLSnYbjMb,0.331,0.0398,1,-24.961,1,0.0524,0.94,5.3e-06,0.086,0.112,93.575,,3,154293.0
7oPmR7kujiCfv7EjD1jK1R,53JbhA4hBdW0hBPXQD1Wdu,0.25,0.0764,4,-24.491,1,0.0466,0.977,9.32e-05,0.0945,0.0424,127.373,,3,326027.0
7oPmR7kujiCfv7EjD1jK1R,4BvGqnEpOK5n5a15E4tVnD,0.154,0.0206,5,-28.849,1,0.0409,0.949,0.000155,0.164,0.104,85.697,,3,261800.0
7oPmR7kujiCfv7EjD1jK1R,2UDBKnC7WrwsgQZPv87Gmv,0.145,0.207,2,-16.536,0,0.0314,0.69,0.937,0.0808,0.0847,140.547,,5,202800.0
7oPmR7kujiCfv7EjD1jK1R,60Ar9WrRjlWN93HiUp9b9B,0.219,0.0327,2,-23.012,1,0.0572,0.967,1.5e-05,0.0905,0.0373,71.605,,4,272627.0
7oPmR7kujiCfv7EjD1jK1R,4aguJLMMAKncB71c1PzOlS,0.241,0.142,8,-18.805,1,0.0432,0.984,0.00162,0.112,0.0715,138.073,,4,262667.0
7oPmR7kujiCfv7EjD1jK1R,5BuUjg67F6ckWSRvtoISBE,0.25,0.00693,5,-27.059,1,0.0352,0.939,0.00244,0.222,0.0393,139.397,,3,118440.0
7oPmR7kujiCfv7EjD1jK1R,1LVzuA8HKYruCmARc5R8Cf,0.264,0.0521,0,-21.852,1,0.0488,0.971,0.000106,0.0941,0.0393,86.831,,4,219307.0
5WHlD00zF0Dv2nR1CN24qI,1h7VbIs069cbUGXQX7JRq8,0.839,0.652,11,-8.699,1,0.0838,0.188,0.39,0.0727,0.419,122.998,,4,347350.0
5WHlD00zF0Dv2nR1CN24qI,1PqJNSOpnLJ8QG0jH2NeW8,0.763,0.69,10,-9.357,0,0.0477,0.0211,0.806,0.108,0.129,131.005,,4,302786.0
5WHlD00zF0Dv2nR1CN24qI,4jwo2RpjDxjVgqyL8YkfAC,0.789,0.528,11,-12.132,0,0.0583,0.000672,0.867,0.0958,0.0558,130.033,,4,314051.0
5WHlD00zF0Dv2nR1CN24qI,67h3VJk4lXx0dDdsK76qVR,0.802,0.872,2,-12.874,1,0.0573,0.00583,0.963,0.111,0.0739,121.014,,4,413719.0
5WHlD00zF0Dv2nR1CN24qI,6Xmoa7btdRSqkj29t3uFdJ,0.781,0.669,7,-10.272,0,0.0612,0.0299,0.785,0.113,0.178,124.001,,4,500576.0
5WHlD00zF0Dv2nR1CN24qI,4XqFJjet2cmgJxlEPyBLLF,0.669,0.879,10,-6.214,0,0.0535,0.0116,0.88,0.12,0.295,119.998,,4,376005.0
5WHlD00zF0Dv2nR1CN24qI,4wWLfffVROzYwE9O0eeT15,0.777,0.693,11,-11.793,0,0.0588,0.137,0.925,0.111,0.376,124.994,,4,370181.0
5WHlD00zF0Dv2nR1CN24qI,7MCcf5DVOqadzKD9NtJ7J1,0.853,0.531,8,-10.562,1,0.0742,0.17,0.655,0.528,0.184,125.016,,4,264965.0
5WHlD00zF0Dv2nR1CN24qI,6iKN1DM1FdBuKTN8xlf0yt,0.784,0.716,11,-10.446,1,0.0634,0.12,0.856,0.111,0.449,125.002,,4,384005.0
5WHlD00zF0Dv2nR1CN24qI,2BltkkHiRfUDjkjtL8zzQv,0.811,0.437,4,-10.524,0,0.0568,0.00696,0.866,0.0974,0.587,121.997,,4,362459.0
2hNpT3N2qBcVW74aezRc3E,6ZcCfBvgbQTGtAaFVS9qkS,0.565,0.5,6,-8.829,1,0.0348,0.148,0.000163,0.0768,0.151,144.003,,4,233960.0
